:START_ID,TYPE,:END_ID
mcro_resnet50a1in1k,mcro_hasModelDetail,mcro_resnet50a1in1k-ModelDetail
mcro_bertbasemodeluncased,mcro_hasModelDetail,mcro_bertbasemodeluncased-ModelDetail
mcro_dima806fairfaceageimagedetection,mcro_hasUseCaseInformationSection,mcro_dima806fairfaceageimagedetection-UseCaseInformationSection
mcro_pyannotesegmentation30,mcro_hasModelArchitecture,mcro_pyannotesegmentation30-Architecture
mcro_Falconsainsfwimagedetection,mcro_hasModelDetail,mcro_Falconsainsfwimagedetection-ModelDetail
mcro_mobilenetv3small100lambin1k-ModelDetail,mcro_hasDataset,mcro_mobilenetv3small100lambin1k-Dataset
mcro_clipmodel,mcro_hasDataset,mcro_clipmodel-dataset
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-hatefulmemes
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-objectnet
mcro_clip,mcro_hasLimitation,mcro_clip-LimitationInformationSection
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-cifar100
mcro_clipmodel,mcro_hasPerformanceMetric,mcro_clipmodel-performance
mcro_robertalargemodel,mcro_hasModelArchitecture,mcro_robertalargemodel-Architecture
mcro_Phi2GGUF-ModelDetailSection,mcro_hasCitation,mcro_Phi2GGUF-CitationSection
mcro_electramodel,mcro_hasCitation,mcro_electramodel-Citation
mcro_Phi2GGUF,mcro_hasDataset,mcro_Phi2GGUF-DatasetSection
mcro_Falconsainsfwimagedetection,mcro_hasLimitation,mcro_Falconsainsfwimagedetection-Limitation
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-caltech101
mcro_bertbasemodeluncased,mcro_hasIntendedUse,mcro_bertbasemodeluncased-IntendedUse
mcro_Phi2GGUF,mcro_hasUseCase,mcro_Phi2GGUF-UseCaseSection
mcro_Phi2GGUF,mcro_hasModelDetail,mcro_Phi2GGUF-ModelDetailSection
mcro_bertbasemodeluncased,mcro_hasCitation,mcro_bertbasemodeluncased-Citation
mcro_electramodel,mcro_hasUseCase,mcro_electramodel-UseCase3
mcro_Phi2GGUF,mcro_hasModelArchitecture,mcro_Phi2GGUF-ArchitectureSection
mcro_gpt2,mcro_hasModelArchitecture,mcro_gpt2-ModelArchitectureInformationSection
mcro_mobilenetv3small100lambin1k-ModelDetail,mcro_hasCitation,mcro_mobilenetv3small100lambin1k-Citation2
mcro_Falconsainsfwimagedetection-ModelDetail,mcro_hasLicense,mcro_Falconsainsfwimagedetection-License
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-flowers102
mcro_electramodel,mcro_hasDataset,mcro_electramodel-Dataset
mcro_clip,mcro_hasUseCase,mcro_clip-UseCaseInformationSection
mcro_clip,mcro_hasConsideration,mcro_clip-ConsiderationInformationSection
mcro_gpt2,mcro_hasDataset,mcro_gpt2-DatasetInformationSection
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-imagenet
mcro_electramodel,mcro_hasModelArchitecture,mcro_electramodel-ModelArchitecture
mcro_gpt2,mcro_hasTrainingData,mcro_gpt2-TrainingDataInformationSection
mcro_llama318BInstructGGUF,mcro_hasDatasetInformation,mcro_llama318BInstructGGUF-DatasetInformation
mcro_gpt2,mcro_hasLicense,mcro_gpt2-License
mcro_mobilenetv3small100lambin1k-ModelDetail,mcro_hasCitation,mcro_mobilenetv3small100lambin1k-Citation
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-kittidistance
mcro_allMiniLML6v2,mcro_hasIntendedUseCase,mcro_allMiniLML6v2-UseCaseInformationSection
mcro_Falconsainsfwimagedetection,mcro_hasReference,mcro_Falconsainsfwimagedetection-Reference
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-ucf101
mcro_bertbasemodeluncased,mcro_hasModelArchitecture,mcro_bertbasemodeluncased-ModelArchitecture
mcro_allMiniLML6v2,mcro_hasModelArchitectureInformation,mcro_allMiniLML6v2-ModelArchitectureInformationSection
mcro_YOLOv8DetectionModel,mcro_hasDataset,mcro_YOLOv8DetectionModel-DatasetInformationSection
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-mscoco
mcro_robertalargemodel-ModelDetail,mcro_hasCitation,mcro_robertalargemodel-Citation
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-cifar10
mcro_gpt2-ModelDetail,mcro_hasIntendedUseCase,mcro_gpt2-UseCaseInformationSection
mcro_llama318BInstructGGUF-ModelDetail,mcro_hasLicense,mcro_llama318BInstructGGUF-License
mcro_Falconsainsfwimagedetection-ModelDetail,mcro_hasArchitecture,mcro_Falconsainsfwimagedetection-Architecture
mcro_bertbasemodeluncased,mcro_hasLimitation,mcro_bertbasemodeluncased-Limitation
mcro_electramodel,mcro_hasUseCase,mcro_electramodel-UseCase2
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-imagenetsketch
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-birdsnap
mcro_llama318BInstructGGUF,mcro_hasCitationInformation,mcro_llama318BInstructGGUF-CitationInformation
mcro_pyannotespeakerdiarization31,mcro_hasCitation,mcro_pyannotespeakerdiarization31-CitationInformationSection
mcro_allMiniLML6v2,mcro_hasTrainingDataInformation,mcro_allMiniLML6v2-TrainingDataInformationSection
mcro_Phi2GGUF-ModelDetailSection,mcro_hasLicense,mcro_Phi2GGUF-LicenseSection
mcro_Falconsainsfwimagedetection,mcro_hasTrainingData,mcro_Falconsainsfwimagedetection-TrainingData
mcro_clipmodel,mcro_hasModelDetail,mcro_clipmodel-modeldetail
mcro_clipmodel-modeldetail,mcro_hasCitation,mcro_clipmodel-citation2
mcro_gpt2,mcro_hasModelDetail,mcro_gpt2-ModelDetail
mcro_clipmodel-modeldetail,mcro_hasCitation,mcro_clipmodel-citation1
mcro_mobilenetv3small100lambin1k,mcro_hasUseCase,mcro_mobilenetv3small100lambin1k-UseCase
mcro_resnet50a1in1k-ModelDetail,mcro_hasCitation,mcro_resnet50a1in1k-Citation
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-imagenetvid
mcro_pyannotesegmentation30,mcro_hasCitation,mcro_pyannotesegmentation30-Citation
mcro_clip,mcro_hasDataset,mcro_clip-DatasetInformationSection
mcro_dima806fairfaceageimagedetection,mcro_hasReferenceInformationSection,mcro_dima806fairfaceageimagedetection-ReferenceInformationSection
mcro_mobilenetv3small100lambin1k-ModelDetail,mcro_hasModelArchitecture,mcro_mobilenetv3small100lambin1k-ModelArchitecture
mcro_robertalargemodel,mcro_hasIntendedUseCase,mcro_robertalargemodel-UseCase
mcro_llama318BInstructGGUF,mcro_hasModelDetail,mcro_llama318BInstructGGUF-ModelDetail
mcro_pyannotewespeakervoxcelebresnet34LM,mcro_hasLicense,mcro_pyannotewespeakervoxcelebresnet34LM-License
mcro_electramodel,mcro_hasUseCase,mcro_electramodel-UseCase
mcro_pyannotewespeakervoxcelebresnet34LM,mcro_hasModelArchitecture,mcro_pyannotewespeakervoxcelebresnet34LM-Architecture
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-svhn
mcro_YOLOv8DetectionModel,mcro_hasQuantativeAnalysis,mcro_YOLOv8DetectionModel-QuantativeAnalysisSection
mcro_esmfold,mcro_hasModelArchitecture,mcro_esmfold-ModelArchitecture
mcro_llama318BInstructGGUF,mcro_hasIntendedUseCase,mcro_llama318BInstructGGUF-IntendedUseCase
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-country211
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-kinetics700
mcro_chronos-t5-small,mcro_hasModelArchitecture,mcro_chronos-t5-small-ModelArchitecture
mcro_clip-ModelDetailSection,mcro_hasModelArchitecture,mcro_clip-ModelArchitectureInformationSection
mcro_clipmodel,mcro_hasLimitation,mcro_clipmodel-limitation
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-rareact
mcro_clipmodel-usecase,mcro_hasOutOfScopeUseCase,mcro_clipmodel-outofscope
mcro_clipmodel-modeldetail,mcro_hasModelArchitecture,mcro_clipmodel-modelarchitecture
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-fgvcaircraft
n339c54dc22d648508eb7b630b75534ccb1,imports,obo_http_//purl.obolibrary.org/obo/2023-03-07/mcro.owl
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-flickr30
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-youtubebb
mcro_pyannotewespeakervoxcelebresnet34LM,mcro_hasCitation,mcro_pyannotewespeakervoxcelebresnet34LM-Citation1
mcro_bertbasemodeluncased,mcro_hasDataset,mcro_bertbasemodeluncased-Dataset
mcro_Phi2GGUF,mcro_hasModelParameter,mcro_Phi2GGUF-ModelParameterSection
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-sun397
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-voc2007
mcro_chronos-t5-small,mcro_hasCitation,mcro_chronos-t5-small-Citation
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-sst2
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-clevrcounting
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-imagenetr
mcro_llama318BInstructGGUF-ModelDetail,mcro_hasModelArchitectureInformation,mcro_llama318BInstructGGUF-ModelArchitecture
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-stl10
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-dtd
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-food101
mcro_resnet50a1in1k,mcro_hasUseCase,mcro_resnet50a1in1k-UseCase
mcro_allmpnetbasev2,mcro_hasModelArchitecture,mcro_allmpnetbasev2-Architecture
mcro_YOLOv8DetectionModel,mcro_hasUseCaseInformation,mcro_YOLOv8DetectionModel-UseCaseInformationSection
mcro_gpt2-ModelDetail,mcro_hasCitation,mcro_gpt2-CitationInformationSection
